id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Country,abbreviation,fullname
tm462551,"?Ay, mi madre!",MOVIE,"When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",2019,NA,81,"['comedy', 'european']",ES,NA,tt6213294,3.9,394,6.797,4.4,Spain,,
tm931701,?l?t?r?,MOVIE,"In Lagos, Nigeria, young, naive Nigerian journalist ?l?t?r? goes undercover to expose the shady underworld of human trafficking. Unused to this brutal environment, crawling with ruthless traders and pimps, ?l?t?r? finds warmth and friendship with Blessing, Linda and Beauty, the prostitutes she lives with. However, she gets drawn into their lifestyle and finds it difficult to cope. In her quest to uncover the truth, she pays the ultimate price - one that takes her to the verge of no return.",2019,NA,106,"['drama', 'crime']",NG,NA,tt9725830,5.5,774,6.252,6.1,Nigeria,,
tm252609,'76,MOVIE,"Nollywood superstars Ramsey Nouah, Rita Dominic, and Chidi Mokeme headline this gripping drama set against the backdrop of the attempted 1976 military coup against the government of General Murtala Mohammed.",2016,PG-13,118,"['romance', 'drama']",NG,NA,tt2385126,5.6,220,1.73,7.2,Nigeria,,
tm820190,Alive,MOVIE,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",2020,NA,98,"['thriller', 'horror', 'action', 'drama']",KR,NA,tt10620868,6.3,37199,61.465,7.3,"Korea, Republic Of",,
tm817087,AnneFrank. Parallel Stories,MOVIE,"One single Anne Frank moves us more than the countless others who suffered just as she did but whose faces have remained in the shadows-Primo Levi. The Oscar?-winning Helen Mirren will introduce audiences to Anne Frank's story through the words in her diary. The set will be her room in the secret refuge in Amsterdam, reconstructed in every detail by set designers from the Piccolo Theatre in Milan. Anne Frank this year would have been 90 years old. Anne's story is intertwined with that of five Holocaust survivors, teenage girls just like her, with the same ideals, the same desire to live: Arianna Sz?renyi, Sarah Lichtsztejn-Montard, Helga Weiss and sisters Andra and Tatiana Bucci. Their testimonies alternate with those of their children and grandchildren.",2019,NA,92,"['drama', 'documentation', 'history']",IT,NA,tt9850370,6.5,1503,17.846,6.9,Italy,,
tm257629,FollowFriday,MOVIE,Students and Faculty on a college campus are targeted by a killer using social media.,2016,NA,90,['thriller'],US,NA,tt5233106,2.7,382,3.26,3.6,United States,,
tm371188,FriendButMarried,MOVIE,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",2018,NA,102,"['romance', 'comedy', 'drama']",ID,NA,tt8076266,6.9,695,1.96,6.8,Indonesia,,
tm846354,FriendButMarried 2,MOVIE,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",2020,NA,104,"['drama', 'comedy', 'romance']",ID,NA,tt11640412,6.9,300,1.298,7.5,Indonesia,,
tm320206,realityhigh,MOVIE,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",2017,NA,99,"['comedy', 'drama', 'romance']",US,NA,tt6119504,5.2,6283,17.721,6.4,United States,,
tm286268,Rucker50,MOVIE,"The celebratory explosion of basketball history makers, legend shakers and lawbreakers; juxtaposed against important events in Civil & Human Rights. The 50 years of The Rucker's ripples reverberate throughout Basketball, Hip-Hop, Harlem, and life.",2016,NA,56,['documentation'],US,NA,tt6475636,5.2,117,2.578,3.7,United States,,
tm50798,10 jours en or,MOVIE,French movie written and directed by Nicolas Brossette and starring Franck Dubosc.,2012,NA,95,"['comedy', 'drama', 'european']",FR,NA,tt1729630,6,1003,4.912,5.3,France,,
tm240733,100 Meters,MOVIE,"Based on the incredibly true story of a Spanish man with Multiple Esclorosis who tried to finish an Iron-Man: 3,8km swimming, 180km cycling and 42 running. And he was told that he could not make 100 meters.",2016,NA,108,"['drama', 'comedy', 'european']",ES,NA,tt5089786,7.5,6167,9.529,7.5,Spain,,
tm132675,100 Things to Do Before High School,MOVIE,"With the pressures of high school in their near future, CJ and her two best friends decide to embark on a series of middle school adventures while they can still take risks and have fun.",2014,NA,44,[],US,NA,NA,NA,NA,0.009441746,NA,United States,,
tm979073,100% Halal,MOVIE,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",2020,NA,100,['drama'],ID,NA,NA,NA,NA,1.511,NA,Indonesia,,
tm1013111,1000 Miles from Christmas,MOVIE,"A Christmas tale, a romantic comedy and the story of a man in his 30s who learns reluctantly to get carried away by the Christmas spirit.",2021,NA,102,"['comedy', 'romance', 'family', 'fantasy']",ES,NA,tt13782052,5.7,1483,44.986,6.3,Spain,,
tm1172600,11M,MOVIE,"Survivors and insiders recount March 11, 2004's terrorist attack on Madrid, including the political crisis it ignited and the hunt for the perpetrators.",2022,NA,92,['documentation'],ES,NA,tt6275154,7,796,43.999,6.1,Spain,HN,Honduras
tm1137797,137 Shots,MOVIE,"In this documentary, law enforcement faces scrutiny as Americans demand justice after police violence claims multiple Black lives in Cleveland.",2021,R,104,"['crime', 'documentation']",,NA,tt16379224,6.2,767,4.471,7.1,#N/A,,
tm244788,13th,MOVIE,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,2016,NA,100,"['documentation', 'history', 'crime']",US,NA,tt5895028,8.2,34914,10.311,8,United States,,
tm1119272,14 Peaks: Nothing Is Impossible,MOVIE,"In 2019, Nepalese mountain climber Nirmal ??ims??Purja set out to do the unthinkable by climbing the world?? fourteen highest summits in less than seven months. (The previous record was eight years). He called the effort ??roject Possible 14/7??and saw it as a way to inspire others to strive for greater heights in any pursuit. The film follows his team as they seek to defy naysayers and push the limits of human endurance.",2021,NA,101,"['documentation', 'sport']",US,NA,tt14079374,7.8,22858,23.898,7.5,United States,LV,Latvia
tm843938,18 Presents,MOVIE,"Elisa is only forty when an incurable disease takes her from her husband and their daughter. Before her heart stops, Elisa finds a way to stay close to her: a gift for every birthday up to her adult age, 18 gifts to try to accompany her child's growth year after year.",2020,NA,114,"['fantasy', 'drama', 'european']",IT,NA,tt10816484,6.9,3739,11.36,7.5,Italy,,
tm245911,1898: Our Last Men in the Philippines,MOVIE,"The Philippines, 1898. Fifty Spanish soldiers arrive in the small village of Baler to rebuild an outpost. Although the war against the Filipinos and their American allies is almost lost, as is the Spanish Empire, the garrison will endure a cruel siege for eleven months. They will be the last to surrender.",2016,PG-13,130,"['drama', 'history', 'war', 'european']",ES,NA,tt5698568,6.5,3281,9.711,6.5,Spain,,
tm817504,1BR,MOVIE,"When Sarah lucks into a sweet one-bedroom at Asilo Del Mar Apartments in Los Angeles, she think she's hit the jackpot. It's got plenty of space, friendly tenants, group BBQs and even a cute neighbour next door. All is not what it seems: loud noises start keeping her awake at night; her cat is missing; everyone seems to be a little too helpful and friendly, except for the weirdo, Lester. Soon, Sarah learns she didn't choose this apartment ??it chose her.",2019,NA,90,"['horror', 'thriller', 'drama']",US,NA,tt7541106,5.8,11983,15.734,6.2,United States,,
tm47325,2 Alone in Paris,MOVIE,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",2008,NA,94,"['comedy', 'european']",FR,NA,tt1077097,5.4,2482,6.269,5.1,France,,
tm914535,2 Hearts,MOVIE,"When illness strikes two people who are polar opposites, life and death bring them together in surprising ways.",2020,PG-13,100,"['romance', 'drama']",US,NA,tt5616176,6.2,3365,15.428,7.7,United States,,
tm143363,2 States,MOVIE,"A man and a woman come from two very different cultural backgrounds, and decide that they won't get married until they convince their parents. As feared, differences between the families pose a hurdle.",2014,PG,149,"['comedy', 'drama', 'romance']",IN,NA,tt2372678,6.9,25344,6.973,6.6,India,,
tm677904,2 Weeks in Lagos,MOVIE,"2 Weeks in Lagos is a turbulent and thrilling journey into the lives of Ejikeme and Lola. Their lives collide when Ejikeme, an investment banker, comes home from the United States with Lola's brother Charlie to invest in Nigerian businesses. 2 Weeks in Lagos captures the excitement, vibrancy, and complexity of everyday life in Lagos, a dynamic city where anything is possible in 2 weeks.",2019,NA,107,['romance'],NG,NA,tt10241024,6.6,33,0.72,NA,Nigeria,,
tm431321,21 Bridges,MOVIE,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",2019,R,99,"['action', 'drama', 'crime', 'thriller']",US,NA,tt8688634,6.6,64117,26.217,6.8,United States,,
tm31948,26 Years,MOVIE,"26 years ago, state troops were ordered to open fire on civilians in the city of Gwangju who were demonstrating as apart of a democratic movement. Thousands of civilians were killed. Now, a shooter from the national team, a gang member, a policeman, CEO from a large company and director of a private security outfit get involved in a plan to convict the person responsible for the massacre.",2012,NA,135,"['thriller', 'crime', 'drama']",KR,NA,tt2551894,6.3,1178,4.501,7,"Korea, Republic Of",,
tm435327,27 Steps of May,MOVIE,"Eight years ago, 14 year old May was raped by a group of men. May?? father is devastated, blaming himself for not being able to keep his daughter safe. Traumatized significantly by this incident, May withdraws completely from life.",2019,NA,112,['drama'],ID,NA,tt9695156,8.1,466,2.141,8.6,Indonesia,,
tm142564,3 Idiots,MOVIE,"In the tradition of ??erris Bueller?? Day Off??comes this refreshing comedy about a rebellious prankster with a crafty mind and a heart of gold. Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down??long with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school?? uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",2009,PG-13,170,"['comedy', 'drama']",IN,NA,tt1187043,8.4,385782,49.398,8,India,,
tm852207,3 Logical Exits,MOVIE,"A sociological meditation on the different ""exits"" that young Palestinians choose, in order to cope with life in the refugee camps.",2020,NA,15,['documentation'],LB,NA,NA,NA,NA,0.907,NA,Lebanon,,
tm1822,3 Ninjas Kick Back,MOVIE,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",1994,PG,93,"['action', 'comedy', 'family', 'sport']",US,NA,tt15327306,4.5,9208,9.773,5.5,United States,,
tm224275,3000 Nights,MOVIE,"A young Palestinian schoolteacher gives birth to her son in an Israeli prison where she fights to protect him, survive and maintain hope.",2015,NA,103,['drama'],QA,NA,tt5342778,7.1,676,1.65,6.1,Qatar,,
tm832345,365 Days,MOVIE,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",2020,NA,114,"['romance', 'drama', 'european']",PL,NA,tt10886166,3.3,80198,112.545,7,Poland,,
tm1191224,365 Days: This Day,MOVIE,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo?? family ties and a mysterious man who enters Laura?? life to win her heart and trust, at any cost.",2022,NA,111,"['romance', 'drama']",PL,NA,tt12996154,2.5,10739,1823.374,5.6,Poland,AR,Argentina
tm450095,37 Seconds,MOVIE,"In 37 Seconds, 23-year-old comic book artist Yuma, physically disabled due to profound cerebral palsy and emotionally stunted by her well-meaning but overly protective mother, forges her own unusual path to sexual awakening and independence while at the same time discovering love and forgiveness.",2019,NA,115,['drama'],JP,NA,tt6156138,7.4,2647,8.463,7.4,Japan,,
tm460360,4 latas,MOVIE,"To find Joseba, a dying friend, and see him reunite with his daughter Ely, two old friends, Jean Pierre and Tocho, embark with her on a road trip through the Sahara desert, from Spain to Mali.",2019,NA,105,"['drama', 'comedy', 'european']",FR,NA,tt8242160,5.9,3189,7.59,5.8,France,,
tm993790,40 Love,MOVIE,"Beek, a 22 year-old statistics wiz, believes his Moneyball-esque skills can help rising tennis star Lois Kuzenkova win the U.S. Open.",2021,R,98,['comedy'],US,NA,NA,NA,NA,2.497,3,United States,ZA,South Africa
tm977772,40 Sticks,MOVIE,A group of prisoners trapped in a crashed prison bus strive to stay alive when they realize there is a mysterious killer lurking in the shadows.,2020,NA,93,"['thriller', 'crime']",,NA,tt13483050,6.7,99,1.336,6,#N/A,,
tm1162608,40 Years Young,MOVIE,"After turning 40, C?sar is invited to a culinary contest in Canc?n, but a bitter discovery threatens to destroy his family as well as his chances to win the competition.",2022,NA,81,['comedy'],MX,NA,tt16969906,4.2,215,56.498,5.9,Mexico,ES,Spain
tm361505,48 Christmas Wishes,MOVIE,"Holiday magic has never gleamed brighter as Santa?? Elves head out on an adventure to bring every boy and girl their Christmas wish while also bringing a family back together in this heartfelt Christmas movie from Gaumont. After accidentally destroying a bag of Christmas wishes from a small town on the eve of Christmas Eve, two junior elves learn that if even one wish goes unfulfilled, Christmas could be extinguished forever. For the first time in their lives, the elves Mindy and Cam venture out of the North Pole and sneak into Minnedoza to collect the lost wishes. Along the way they enlist the help of young Blake, whose family has a difficult time celebrating Christmas since his father died. With their deadline fast approaching, Mindy and Cam have only one more wish to find??ut whose could it be? It?? up to Mindy and Cam to find out and save Christmas!",2017,NA,84,"['family', 'fantasy', 'comedy']",CA,NA,tt7422638,3.9,1103,9.516,5.5,Canada,,
tm421855,4K Fireplace,MOVIE,"Enjoy this crackling fireplace during a holiday party or a cozy night in. Shot in stunning 4K Ultra HD, this music-free fireplace video flickers, crackles and adds warmth to any room. Loop video playback for continuous enjoyment.",2015,G,181,"['family', 'reality']",US,NA,tt5275236,7.7,48,1.336,6.8,United States,,
tm674494,4th Republic,MOVIE,"It deals with an irregular governor elections where in a district there are murders, which makes the commisssions annul in that place, that causes the candidate who lost to start a campaign where she proclaims herself the legitimate president and takes the case to court so that they can be do justice to electoral fraud.",2019,NA,119,"['thriller', 'drama']",NG,NA,tt10279102,6.2,29,1.261,8,Nigeria,,
tm444821,5 Star Christmas,MOVIE,"When the Italian Premier and his companion find a dead body in his hotel suite, while on a trip to Hungary, they find themselves embroiled in a series of comedic situations as they try to avoid a scandal.",2018,NA,92,"['comedy', 'european']",IT,NA,tt8775056,4.5,767,6.368,4.2,Italy,,
tm371959,6 Balloons,MOVIE,"Over the course of one night, a woman drives across LA with her heroin addict brother in search of a detox center, with his two-year-old daughter in tow.",2018,NA,75,['drama'],US,NA,tt6142496,5.9,4087,10.88,6.1,United States,,
tm65765,6 Bullets,MOVIE,An ex-mercenary known for finding missing children is hired by a mixed martial arts fighter whose daughter has been kidnapped.,2012,R,115,"['thriller', 'drama', 'action', 'crime']",US,NA,tt1975249,6,14898,25.607,6,United States,,
tm417553,6 Underground,MOVIE,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",2019,R,127,"['action', 'thriller', 'comedy']",US,NA,tt8106534,6.1,168919,47.628,6.3,United States,,
tm195764,6 Years,MOVIE,"A young couple bound by a seemingly ideal love, begins to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined.",2015,NA,84,"['romance', 'drama']",US,NA,tt3984280,5.6,12441,8.384,5.4,United States,,
tm179451,7 Khoon Maaf,MOVIE,"Susanna is hungry for love and will go to any extent to find it in its purest form. In her quest for the perfect man, she gets married a number of times as each of her husband's die mysteriously.",2011,NA,148,"['thriller', 'comedy', 'drama']",IN,NA,tt1629376,6.2,5919,5.396,6.3,India,,
tm1080252,7 Prisoners,MOVIE,An impoverished teen seeking to escape the clutches of a human trafficker must weigh living up to his moral code against his struggle to survive.,2021,R,93,"['drama', 'crime']",BR,NA,tt14168118,7.1,6444,185.834,7.1,Brazil,SG,Singapore
tm902870,7 Yards: The Chris Norton Story,MOVIE,A documentary that will inspire you to overcome. It took Chris Norton 7 years to walk his bride 7 yards down the aisle after a life-altering football tackle.,2021,NA,93,['documentation'],US,NA,tt12443702,7.8,258,2.839,7.3,United States,,
tm267948,7 Years,MOVIE,The drama is centered on four friends and business partners who in one evening are forced to find a way to save their company and themselves. The impossible decision they face is agreeing on who will be the one to sacrifice their freedom to save the others from personal and financial demise. It is a race against time that will put their friendship and sanity to the test. Who will take the fall?,2016,NA,77,"['drama', 'european']",ES,NA,tt5517438,6.7,4872,6.426,6.3,Spain,,
tm373471,90 ML,MOVIE,"Thamara, Paru, Kajal and Suganya are four friends who are rather tired of their uneventful routine. However, things take a turn for the better with the arrival of the spirited and outgoing Rita, a young woman who encourages them to live their lives to the fullest.",2019,NA,125,"['comedy', 'drama', 'romance']",IN,NA,tt8268916,3.4,571,3.675,5.2,India,,
tm511991,99 Songs,MOVIE,"Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",2019,NA,128,['romance'],IN,NA,tt7559180,7.1,2254,3.004,7,India,,
tm877456,9to5: The Story of A Movement,MOVIE,"A campaign against the abuse of female workers by their male bosses, which starts in early 1970s Cleveland, leads to a popular fiction film with Fonda, Parton and Tomlin.",2020,NA,89,"['documentation', 'history']",US,NA,tt11753730,7.4,228,4.76,6.6,United States,,
tm835357,A 3 Minute Hug,MOVIE,"As daylight breaks between the border cities of El Paso, Texas, and Juarez, Mexico, undocumented migrants and their relatives, divided by a wall, prepare to participate in an activist event. For three minutes, they??l embrace in no man?? land for the briefest and sweetest of reunions.",2018,NA,28,['documentation'],MX,NA,NA,NA,NA,2.827,6.4,Mexico,,
tm932595,A Babysitter's Guide to Monster Hunting,MOVIE,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",2020,PG,94,"['fantasy', 'comedy', 'family']",US,NA,tt4844150,5.4,4067,66.921,6.2,United States,,
tm281935,A Bad Moms Christmas,MOVIE,"Amy, Kiki and Carla ??three under-appreciated and over-burdened women ??rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn?? hard enough, they have to do all of that while hosting and entertaining their own mothers.",2017,R,104,['comedy'],US,NA,tt6365402,5.6,49478,17.717,6.3,United States,,
tm160021,A Beautiful Life,MOVIE,"Fang Zhen Dong (Liu Ye) is a patrolling officer in Beijing who one night meets the drunk Li Pei Ru (Shu Qi) while singing karaoke at the KTV place. Li Pei Ru is a real estate agent from Hong Kong who has vowed to make her fortune in the cosmoplitan Beijing, but is caught up in the complexities of life and ends up becoming a mistress of a married man.",2011,NA,122,"['drama', 'romance']",CN,NA,tt1935067,6.7,927,11.477,6.6,People’s Republic of China,,
tm675820,A Boy Called Christmas,MOVIE,"In this origin story of Father Christmas, an ordinary boy (with a loyal pet mouse and a reindeer at his side) sets out on an extraordinary adventure to find his father who is on a quest to discover the fabled village of Elfhelm.",2021,PG,106,"['family', 'fantasy', 'drama']",GB,NA,tt10187208,6.7,20838,102.201,7.6,United Kingdom,YE,Yemen
tm960414,A California Christmas,MOVIE,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land before Christmas.",2020,PG-13,106,"['romance', 'comedy', 'drama']",US,NA,tt13055780,5.8,9721,9.156,6.4,United States,,
tm1111595,A California Christmas: City Lights,MOVIE,"Follows Callie and Joseph one year after they fell in love, now running a dairy farm and winery, but their romance is threatened when business and family obligations call Joseph back to the city.",2021,PG-13,105,"['romance', 'comedy', 'drama']",US,NA,tt13701962,5.5,2231,20.068,6.7,United States,,
tm1003725,A Castle for Christmas,MOVIE,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle - and faces off with the grumpy duke who owns it.",2021,NA,98,"['romance', 'comedy', 'drama', 'family']",US,NA,tt13070602,5.5,11727,17.704,5.8,United States,,
tm558730,A Champion Heart,MOVIE,"A troubled girl finds faith, hope, and healing through a relationship with a wounded horse.",2018,G,90,['family'],US,NA,tt4738912,5.9,395,5.224,8.2,United States,,
tm296203,A Chaster Marriage,MOVIE,"In love with Duygu, as well as with his favorite football team, Zafer is one of those grown-up men who never really grow up. One day, he finds himself forced into a marriage by his father, and despite his many funny attempts to get out of the marriage, Zafer?? plans yield no result. Can Zafer understand the meaning of true love before the final whistle blows?",2016,PG-13,93,"['romance', 'family', 'comedy']",TR,NA,tt6379048,5.4,874,1.645,5.1,Turkey,,
tm234980,A Choo,MOVIE,"Even when they were orphans, Wang Yizhi has always been in love with Xinxin. Now older, Yizhi decides to train as a boxer before he allows himself to profess his love, but only for her to fall for a geeky computer engineer who is secretly a popular superhero. When Xinxin gets kidnapped, Yizhi must prove his love and his fighting skills to get the girl of his dreams.",2020,NA,101,"['comedy', 'romance', 'fantasy', 'action']",TW,NA,tt12689526,5.4,357,4.007,5,Taiwan,,
tm355724,A Christmas Prince,MOVIE,"When a reporter goes undercover as a nanny to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",2017,PG,92,"['romance', 'comedy', 'family']",US,NA,tt7608418,5.7,19456,11.202,6.6,United States,,
tm838765,A Christmas Prince: The Royal Baby,MOVIE,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must help her family and kingdom by finding a missing peace treaty.",2019,NA,84,"['romance', 'family']",US,NA,tt10006006,5.3,6704,13.992,6.4,United States,,
tm438995,A Christmas Prince: The Royal Wedding,MOVIE,"A year after Amber helped Richard secure the crown. The two are set to tie the knot in a royal Christmas wedding ??but their plans are jeopardized when Amber finds herself second-guessing whether or not she's cut out to be queen, and Richard is faced with a political crisis that threatens to tarnish not only the holiday season but the future of the kingdom.",2018,PG,101,"['romance', 'drama']",US,NA,tt8709036,5.3,10658,8.776,6.4,United States,,
tm88382,A Cinderella Story,MOVIE,"Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",2004,PG,95,"['romance', 'comedy', 'family']",CA,NA,tt0356470,5.9,86395,31.774,6.5,Canada,,
tm826563,A Cinderella Story: Christmas Wish,MOVIE,"Kat is an aspiring singer-songwriter who dreams of making it big. However, her dreams are stalled by her reality: a conniving and cruel stepfamily  and a demoralizing job working as a singing elf at billionaire Terrence Wintergarden?? Santa Land.",2019,PG,93,['romance'],US,NA,tt10326928,5.3,NA,18.575,6.5,United States,,
tm1044275,A Classic Horror Story,MOVIE,"Five people travelling by camper crash into a tree. When they recover, the road they were driving on has been replaced by an impenetrable forest and a wooden house.",2021,NA,95,['horror'],IT,NA,NA,NA,NA,56.744,5.9,Italy,SD,Sudan
tm999927,A Cop Movie,MOVIE,"This documentary walks the line between fact and fiction, delving into corruption in the Mexican police through the experiences of two officers.",2021,R,107,"['drama', 'action', 'crime', 'thriller', 'documentation']",MX,NA,tt14035242,7,1626,21.305,7.3,Mexico,OM,Oman
tm321563,A Drowning Man,MOVIE,"Alone and far from home, The Kid makes his way through a strange city looking for the means to get through his day. Surrounded by predators he is forced to make compromises merely to survive, his life of exile grows one day longer.",2017,NA,15,['drama'],DK,NA,NA,NA,NA,1.101,5.6,Denmark,,
tm158671,A Fairly Odd Summer,MOVIE,"Get ready for the oddest summer yet! Timmy Turner and his fairies are going on a summer vacation to Hawaii. But, unfortunately for Timmy, something tells us this won?? be a very relaxing holiday. With all the magic in Fairy World at stake and villains like Vicky , Foop and Crocker on his tail, there?? no way he??l be able to enjoy himself??,2014,G,68,['fantasy'",'animation','comedy',"'family']""",['US'],NA,NA,4,533,10.552,5.9,NA,Namibia,,
tm846964,A Fall from Grace,MOVIE,"When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work.",2020,NA,120,"['fantasy', 'thriller', 'drama']",US,NA,tt11390036,5.8,15029,12.851,7.1,United States,,
tm926580,A Family,MOVIE,"A story of yakuza family from 1999 to 2019. Kenji Yamamoto?? father died from using a stimulant drug. His life fell into desperation. Kenji Yamamoto then joined a crime syndicate. There, he meets the gang's boss Hiroshi Shibasaki. Hiroshi Shibasaki reaches out to Kenji Yamamoto and they developed a relationship like father and son. As time passes, Kenji Yamamoto has his own family.",2021,R,136,"['crime', 'drama']",JP,NA,tt13356884,7,2158,5.673,7.2,Japan,,
